User,Deposits (Ether),WithdrawLockedStake (Ether),WithdrawUnlockedStake (Ether),Total Withdrawn (Ether),Claimed Purse Rewards(Ether)
0x65c70A2aA8A5150B7DE62D24B59Ac94E16d1f215,7154211,0,0,0,177639
0xCd3ac739840df80e3943cD26B6b82590C978e0b6,207824,0,0,0,0
0xDD46E46cf61757Ca5534e8573B5340EF9525F72d,1071822,0,0,0,0
0xC0e27FB2591a5B076d414a5E1842A66eEB4f9521,735959,0,0,0,0
0x38cD896C136EFbc36e275790184a7525C6891740,11892,0,0,0,0
0x5ec45a8E9c02846a0eb447e87CaE3f07572f7CF6,18399,0,0,0,0
0xDE4E5b6AeB5Ad571a94e84311aB8b500a002c302,1106311,442503,410569,853073,0
0x1D1f08831551dAC20993736a39af3A88916B8323,182920,0,63724,63724,0
0x67572E8bc9CF12643B1730EBEa8D2f8621B2D6F6,207090,0,0,0,0
0x693905eC9eE4390cC8214b25C308129cC01b118E,489808,0,0,0,0
0x4be353187154c1D162aa15acb86C6b221a17275D,5078722,0,0,0,0
0x9069Fc86cE461920F208F0A7AE84413f41a85f17,1266757,0,709333,709333,0
0x99e94C8BeDCd3BF3d0824cC824820B99eab3a4af,28967641,11555078,10559142,22114221,0
0x2155b6278c4EA9Ea50A43801304EF5c7454053F7,108800,0,0,0,0
0x8aD9bE2976A89C294D5a4d7500187484C94E121b,326949,217271,133286,350557,0
0xBeadB1638Cb46De09b691a11A9070D284445dFEe,13149384,0,0,0,357003
0xc1411F02eEF62239E111AC03420CA26e97225B3F,2628195,0,2507638,2507638,0
0xDaA3FBDFcBc8c3426cBD7c4112d688817077a8Cf,19613,0,0,0,0
0x43ba5F0a1203F3A33C89089B30008926f0615D57,1855175,733209,652093,1385303,0
0x8289D6c75224E77dfcba2699bD42e4Cc2b2a8bFD,53802579,26620405,16210257,42830662,0
0x18AFc02daD20032A57cF0E848C4449A6a5972878,11714,0,0,0,0
0x197126815dB8735EB3fD9a5F2fe6696fd1572Fd8,15122,0,0,0,0
0x3Cd45258e354702Fc9a860C12Fd646b374cB882e,156,0,0,0,0
0xC459B306B08744eb1Eac448aE281D3f0057Ee419,120053,70773,62359,133133,0
0xecC03F93933E3d16D15399EB99BB80411298824B,19332,0,0,0,373
0x5A3425eeF5707702B2c6d91c796741f4b6Fd9def,532950,205929,408802,614732,0
0x54ce10c68a8eF6bA200a6C4d921A9a18854983A4,180881,0,216914,216914,0
0xF02b79CB51dbF6239B419440D934F94E9c1B53a1,3849334,3492644,447068,3939713,0
0xC5C18E7fc6894357329eA341C6A15daEA6e689F4,180868,0,198869,198869,0
0xae5Cd73e9407f99Cbd231F4d73A01Dd51ACDbeB9,6399,0,0,0,0
0xE43139c1098A4f6833a27193daeeE84Ef6F3722F,361760,0,183089,183089,0
0xD7DC29A65a2cEe8f4535dfbc85bC1B6f7eA22823,392307,0,0,0,0
0x0A7CC08F6B02aF9270c429D47B838C1f72B5d28b,47277,0,0,0,0
0x0023f9c0D17a1aA7151a39326B7f1a178664d094,181839,0,0,0,0
0xbE05E46745430e353F03582346e303F2c73C4FA3,344,0,0,0,0
0x8ba23144171c0A2606aD0B9Ba9c9df4Ea6e475D6,100000,0,108404,108404,0
0xB2A10579773fB6e32FA1EFfC89510FDdd91Ba6Fe,2997556,0,0,0,127726
0xbef4E22bf9696FE4b455C53587e119e455F2fc3B,46298,0,0,0,0
0x0890Be3eeac0066605aBaAD016485E82078dd26a,3819163,2988664,487947,3476611,0
0x849DF777E4194F1d1547ae5F4790F3BaB89411b1,103302,0,0,0,0
0x2116B517DA6d0749e08CC7eB3488c6e00f96dd6E,312537967,0,0,0,6969247
0x3a00225c68B53bb1428042129ccad933dB9e2789,154255414,0,0,0,0
0x31F8350Bf6EA462a06B29A9c71bFe2f2DD8337D9,4667860,0,0,0,0
0xA7396814b9946f3fd1616410985aF0258412477c,559624,0,0,0,0
0x875DCf5F6EA9BC116853B3b818e7042d002Fb8A2,233706,0,0,0,0
0x778A9a6d4C87952764d968e629a2FaDEbBE99A2f,10387,0,11548,11548,0
0xFDC50d8e66b2231DAF5BDBb1C8128bcf396E1F80,4704,0,0,0,0
0x30c568c5d6f9fb383986cFD6dD99EfFc0444b869,803824,0,0,0,0
0xEEB93DaeB307a18BFB08C9FfC9238E32dA782E37,184000,0,0,0,0
0x1579630092f728057fa6283D63C9b304848AF750,31069907,0,0,0,0
0x61F5EbE1Ad59DE39C0A25DC8755B0f8C0B9b7F23,19054234,0,0,0,0
0x46C3f6F34e250922C2f543b430080dac3C71b6b7,4784735,0,0,0,104357
0x59105fa5d6A6600e0F59769bd130f0b8AFAF5B13,4963881,0,0,0,0
0x5D9e7f16AC1ABef0B98f5c7a99020c3B8eB7A29E,5185626,0,0,0,0
0xb7C15aD3e97C10B4F6741F570A39f56535C124B8,9713954,0,0,0,0
0xeEaCe5367588b6483fcb3131Dca559A2a2F9EE0A,1535672,0,0,0,0
0x71062c36611833D9F21BDeb3Bf9795103112cA93,6075694,0,0,0,145638
0xfD00A16087BA588F69c13e83753D45c39eeD9078,255854602,0,0,0,3371262
0x735E24A9B3af586aFC2D37b13094fF508eE42470,818,0,0,0,0
0x55fB804F8C4A19C466D946a2AE94ebd6D1CEA764,13099,0,0,0,0
0xFA235972863481090C2e91D519810596A9eC1aF4,151471,0,0,0,2862
0xC3994C6E3B0C3a7635fa9EF38c80F4C7F74Fe5A4,2245869,0,2368026,2368026,0
0x2a51487336f8680A2D7827417bEAc6236F7ef7ae,49223505,0,0,0,0
0x17C1fc4A6ff67A781cED9a4f94ab416020E90403,216,0,0,0,0
0xDB55e45A1313f15eCF6D8eA30d4fA2dfC95e79D8,7036276,0,0,0,0
0xaa2631b8A44062b8aBF21e7178Fc353f4e8d44F9,439989,0,223947,223947,0
0x1c738aA0e9E98FF656E30eaD038FC9c5A9C8F257,31397,16720,16669,33389,0
0x6b6a6830248B841EEc6eBC94390BB5DB6764d375,6721645,0,0,0,0
0xF8A142dE132322eF1A0b04404269c75dc86f1cea,283,0,0,0,0
0xACb92cC34d29C5750E12131c7229be6Ac53d1b07,22174429,0,0,0,0
0x242A58DA6304544d6A0a2443C31f7d62d3B45683,72976556,0,0,0,0
