User,Rewards Earned (Wei),Rewards Earned (Ether),From Block, To Block,Value (USD),Current Price of Purse (USD)
0xb6f9e4c6db0c4f3a7e8aff01077e601a7626409b,1.05136E+23,105135.9166,33651665,33673092,111.1286638,0.001057
0xfa235972863481090c2e91d519810596a9ec1af4,2.57595E+23,257594.5234,22900257,33673092,272.2774112,0.001057
0xbeadb1638cb46de09b691a11a9070d284445dfee,5.46281E+23,546280.8543,32853115,33673092,577.418863,0.001057
0x1ac8d5f6fd417ab2909a310ba671500ceabc0aed,1.56526E+23,156526.2275,32117788,33673092,165.4482224,0.001057
0x30c568c5d6f9fb383986cfd6dd99effc0444b869,2.67323E+22,26732.27844,32562249,33673092,28.25601831,0.001057
,,,,,,
,,,,,,
Total,1154.529179,,,,,
